    Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Recommended_Fertilizer
Clay,8.12,36.78,90,10,115,33.53,49.07,314.95,Cotton,DAP
Sandy,7.06,36.74,141,50,65,16.61,56.55,1993.33,Cotton,Compost
Sandy,6.09,44.66,98,12,37,22.92,42.75,2777.12,Cotton,DAP
Clay,8.37,22.59,104,26,112,31.74,35.44,603.53,Cotton,DAP
Sandy,5.82,40.15,70,38,95,38.31,59.52,1654.49,Cotton,DAP
Silt,6.04,25.34,133,13,36,30.03,64.79,2362.51,Cotton,DAP
Loamy,4.98,23.43,51,41,35,27.44,82.97,1005.94,Cotton,Urea
Clay,8.25,37.61,70,71,107,18.3,83.4,2878.36,Cotton,Zinc Sulphate
Clay,5.84,28.27,114,53,19,12.98,82.46,431.39,Cotton,MOP
Sandy,8.28,32.8,48,15,49,11.32,38.92,1448.68,Cotton,Urea
Clay,5.0,55.94,150,66,104,20.44,79.06,1463.51,Cotton,Compost
Loamy,8.0,12.92,66,35,36,16.76,89.25,1091.4,Cotton,DAP
Sandy,5.27,44.21,49,85,74,17.79,88.82,899.91,Cotton,Urea
Clay,8.38,13.9,133,46,73,12.92,32.36,250.58,Cotton,Zinc Sulphate
Sandy,8.26,57.64,126,45,107,13.51,83.39,2532.72,Cotton,Zinc Sulphate
Silt,7.14,16.07,95,72,20,35.61,78.24,1733.63,Cotton,MOP
Loamy,5.1,36.53,73,22,69,16.05,87.22,2232.1,Cotton,DAP
Silt,8.11,43.64,151,80,112,11.59,36.15,1094.59,Cotton,Zinc Sulphate
Sandy,5.31,52.48,81,50,51,36.51,82.09,2012.74,Cotton,Compost
Loamy,8.38,56.41,41,81,60,31.87,60.07,1179.16,Cotton,Urea
Sandy,5.36,35.55,60,61,20,36.1,80.11,335.54,Cotton,MOP
Sandy,6.06,48.38,39,15,36,11.75,54.59,2918.18,Cotton,Urea
Loamy,7.95,56.03,61,14,95,25.46,30.74,1968.46,Cotton,DAP
Clay,7.02,39.45,134,65,50,21.2,57.5,1388.61,Cotton,SSP
Sandy,4.66,51.47,49,83,38,15.31,52.04,2033.2,Cotton,Urea
Sandy,5.32,19.55,90,35,27,16.85,81.13,2998.86,Cotton,DAP
Loamy,4.9,24.97,122,85,101,23.34,71.45,1418.36,Cotton,Compost
Clay,6.81,44.48,154,53,74,17.45,74.56,827.61,Cotton,NPK
Loamy,5.54,50.86,106,36,32,25.32,63.1,1764.95,Cotton,DAP
Clay,7.53,48.07,94,57,62,17.89,82.13,2486.91,Cotton,NPK
Clay,6.32,26.39,58,87,80,17.3,57.03,346.42,Cotton,Urea
Clay,4.8,28.71,103,39,85,22.81,85.25,2962.19,Cotton,DAP
Sandy,5.73,40.63,28,79,81,16.91,39.35,530.73,Cotton,Urea
Silt,6.29,36.82,21,87,93,10.87,85.57,2160.94,Cotton,Urea
Clay,7.57,39.94,44,55,53,39.86,32.05,2085.52,Cotton,Urea
Silt,6.36,17.72,55,41,99,39.72,68.46,397.97,Cotton,Urea
Sandy,5.77,24.69,100,42,31,32.67,61.29,517.95,Cotton,MOP
Silt,8.02,38.91,141,85,92,15.05,72.02,2969.85,Cotton,Zinc Sulphate
Clay,4.54,46.75,75,85,108,22.62,30.14,1679.29,Cotton,Compost
Sandy,8.4,50.13,91,19,34,29.55,34.94,2065.5,Cotton,DAP
Sandy,5.08,59.9,95,35,95,27.26,55.65,2830.76,Cotton,DAP
Sandy,5.28,35.22,57,36,74,37.0,75.54,2529.72,Cotton,Urea
Loamy,5.83,42.53,115,25,65,38.41,70.57,1604.25,Cotton,DAP
Sandy,6.64,19.29,66,80,35,16.55,37.34,2967.5,Cotton,MOP
Clay,7.88,27.15,70,57,22,35.86,51.24,873.04,Cotton,MOP
Clay,5.65,54.8,136,49,65,23.65,63.81,2434.62,Cotton,Compost
Silt,6.76,36.31,96,11,103,30.1,30.64,1054.18,Cotton,DAP
Sandy,8.35,59.86,56,19,27,27.85,67.12,2535.17,Cotton,Urea
Sandy,4.58,40.57,43,25,35,37.75,64.12,2241.25,Cotton,Urea
Sandy,4.71,13.87,22,34,17,28.94,72.27,2874.52,Cotton,Urea
Silt,6.87,27.99,131,80,97,22.8,31.74,1959.19,Cotton,SSP
Clay,4.66,23.23,88,34,16,33.16,33.3,1706.81,Cotton,DAP
Loamy,4.9,35.56,150,22,83,24.0,37.34,846.62,Cotton,DAP
Silt,8.24,57.71,132,65,111,37.32,72.97,246.48,Cotton,Zinc Sulphate
Loamy,8.27,51.03,123,63,112,17.12,47.56,2946.98,Cotton,Zinc Sulphate
Clay,6.98,55.89,150,39,48,30.9,81.27,2475.19,Cotton,DAP
Clay,6.1,48.45,98,28,66,33.75,30.18,609.88,Cotton,DAP
Loamy,6.2,22.93,77,36,72,32.57,79.51,1757.89,Cotton,DAP
Sandy,8.34,18.45,141,60,106,28.59,76.16,895.68,Cotton,Zinc Sulphate
Loamy,5.69,10.65,122,42,32,24.7,71.81,433.86,Cotton,MOP
Loamy,5.01,46.05,88,27,37,34.0,56.63,2072.69,Cotton,DAP
Clay,6.71,20.19,128,16,118,10.21,84.3,2597.77,Cotton,DAP
Loamy,8.23,39.57,151,71,96,21.44,45.11,2507.13,Cotton,Zinc Sulphate
Clay,4.93,30.79,85,44,12,11.13,78.85,2518.77,Cotton,MOP
Loamy,7.48,58.51,23,22,42,13.3,51.35,2442.75,Cotton,Urea
Clay,7.63,48.99,23,12,70,17.06,33.7,1839.21,Cotton,Urea
Clay,5.55,44.11,127,21,59,18.69,47.64,2883.38,Cotton,DAP
Loamy,5.21,35.2,30,20,104,15.22,75.83,1590.29,Cotton,Urea
Clay,4.76,56.39,135,21,20,18.02,45.74,2744.42,Cotton,DAP
Sandy,6.78,33.33,57,65,50,33.58,48.83,2214.78,Cotton,Urea
Loamy,6.96,15.02,125,11,63,36.07,63.0,1005.03,Cotton,DAP
Loamy,7.22,26.43,102,75,70,39.33,86.34,539.86,Cotton,MOP
Clay,5.36,14.21,106,13,85,34.27,53.82,2436.09,Cotton,DAP
Silt,4.7,11.83,149,36,89,19.9,45.03,640.16,Cotton,DAP
Silt,6.14,39.05,128,22,50,29.52,57.66,1944.75,Cotton,DAP
Loamy,5.11,40.48,83,14,99,23.51,59.32,870.67,Cotton,DAP
Sandy,6.44,16.94,128,56,50,22.54,89.4,1236.99,Cotton,Zinc Sulphate
Sandy,6.66,45.86,61,52,19,10.52,40.86,1774.63,Cotton,MOP
Clay,5.3,25.1,63,19,13,13.65,70.81,939.3,Cotton,DAP
Loamy,6.76,59.57,55,34,62,15.07,78.84,738.62,Cotton,Urea
Silt,5.37,18.61,40,24,99,36.05,84.73,234.98,Cotton,Urea
Loamy,7.14,44.89,72,74,58,10.75,60.56,2067.73,Cotton,Compost
Silt,6.52,35.09,118,39,83,32.81,66.39,2289.62,Cotton,DAP
Clay,6.22,51.45,29,39,60,15.51,79.1,1853.18,Cotton,Urea
Loamy,4.66,58.25,54,70,113,38.3,30.66,2379.57,Cotton,Urea
Sandy,7.12,56.13,128,44,119,37.78,64.87,909.59,Cotton,DAP
Silt,4.56,49.39,94,55,116,13.63,35.42,820.48,Cotton,Compost
Silt,7.34,39.34,127,58,67,36.83,73.89,2399.63,Cotton,Compost
Silt,7.44,35.4,130,57,46,28.45,41.77,2496.72,Cotton,Compost
Sandy,8.18,57.39,118,27,15,35.75,66.33,2080.01,Cotton,DAP
Clay,6.38,28.56,83,19,21,14.11,78.03,958.77,Cotton,DAP
Loamy,4.53,50.7,57,70,46,11.32,63.15,2271.7,Cotton,Urea
Loamy,7.28,55.39,118,86,114,19.18,38.21,1104.61,Cotton,NPK
Clay,6.55,52.81,87,57,44,32.24,71.95,1123.17,Cotton,SSP
Loamy,7.89,30.48,40,80,107,11.68,32.69,1781.74,Cotton,Urea
Sandy,6.26,42.38,96,49,32,34.28,55.26,221.6,Cotton,MOP
Sandy,6.64,57.45,85,18,80,29.01,71.5,2138.66,Cotton,DAP
Loamy,6.44,15.97,112,13,42,12.03,46.52,2296.49,Cotton,DAP
Silt,6.15,32.21,129,82,116,14.6,64.41,671.51,Cotton,MOP
Clay,4.93,53.13,93,64,111,20.97,86.11,2816.13,Cotton,Compost
Sandy,7.16,35.39,115,25,28,22.93,30.97,2715.53,Cotton,DAP
Silt,4.9,14.65,59,38,65,32.19,58.38,2415.31,Cotton,Urea
Loamy,5.23,51.8,92,65,42,31.17,83.77,1111.86,Cotton,Compost
Loamy,6.8,12.49,139,19,98,25.42,86.54,1909.74,Cotton,DAP
Clay,6.71,46.29,21,85,91,26.59,80.28,2053.8,Cotton,Urea
Silt,6.38,24.65,151,11,37,18.99,87.44,793.65,Cotton,DAP
Loamy,6.04,14.48,129,79,16,12.72,43.0,1923.62,Cotton,MOP
Loamy,7.53,17.89,140,35,90,34.47,68.94,1147.42,Cotton,DAP
Loamy,6.16,58.28,157,57,16,27.34,32.83,1576.29,Cotton,MOP
Silt,7.98,32.76,49,52,10,38.05,70.83,1715.89,Cotton,Urea
Silt,5.76,13.68,80,71,19,22.26,30.36,556.82,Cotton,MOP
Sandy,8.29,25.61,45,43,39,31.45,71.26,935.75,Cotton,Urea
Clay,5.48,15.16,34,67,96,21.35,77.31,608.96,Cotton,Urea
Loamy,6.32,21.3,53,15,65,18.18,85.95,351.07,Cotton,Urea
Sandy,6.46,12.93,85,83,87,11.02,33.37,2399.22,Cotton,Zinc Sulphate
Silt,6.52,48.29,28,52,74,36.88,33.39,2068.04,Cotton,Urea
Clay,7.21,20.1,80,66,72,20.44,81.89,273.59,Cotton,Zinc Sulphate
Sandy,8.27,23.55,117,56,51,26.64,30.18,2022.32,Cotton,Zinc Sulphate
Loamy,5.17,59.64,140,48,95,34.65,30.79,312.79,Cotton,Compost
Silt,5.87,17.05,110,38,58,12.51,85.21,761.67,Cotton,DAP
Loamy,8.17,18.45,51,43,76,14.35,51.7,498.41,Cotton,Urea
Sandy,5.58,55.02,27,32,96,39.19,35.25,1051.9,Cotton,Urea
Clay,7.37,17.28,54,50,79,20.01,33.5,2854.18,Cotton,Urea
Sandy,7.86,36.8,66,11,75,16.33,77.56,2635.34,Cotton,DAP
Sandy,7.65,51.64,87,54,50,30.49,68.9,672.99,Cotton,SSP
Clay,7.49,17.84,22,42,85,18.63,71.39,2975.44,Cotton,Urea
Silt,6.56,28.66,37,30,113,19.16,76.64,668.2,Cotton,Urea
Loamy,5.9,19.04,149,18,27,16.86,35.78,2192.95,Cotton,DAP
Loamy,7.69,35.91,78,68,106,32.66,34.42,2899.79,Cotton,Zinc Sulphate
Clay,8.25,14.07,114,81,118,30.19,79.62,2533.07,Cotton,Zinc Sulphate
Silt,5.83,33.42,21,39,85,38.08,64.87,2107.76,Cotton,Urea
Silt,5.53,51.2,143,81,24,32.42,69.65,2640.16,Cotton,MOP
Silt,6.55,55.34,41,44,106,29.64,67.19,1816.31,Cotton,Urea
Loamy,5.15,44.39,40,12,30,20.44,67.39,1787.76,Cotton,Urea
Sandy,5.82,23.21,124,35,92,32.77,35.95,2499.67,Cotton,DAP
Sandy,6.25,40.44,139,67,113,11.25,40.81,1840.81,Cotton,NPK
Silt,5.59,25.31,150,43,39,15.4,34.0,2932.25,Cotton,MOP
Sandy,6.67,24.74,111,13,77,24.85,77.38,2721.43,Cotton,DAP
Clay,6.55,11.14,65,37,47,14.56,60.04,1356.71,Cotton,DAP
Sandy,5.09,32.0,57,32,26,26.45,79.57,1809.69,Cotton,Urea
Loamy,6.48,56.09,155,25,59,13.39,51.9,1651.29,Cotton,DAP
Loamy,6.12,58.4,111,39,76,29.78,52.23,304.49,Cotton,DAP
Silt,6.47,18.19,89,72,38,10.13,39.9,383.82,Cotton,MOP
Sandy,7.86,37.19,107,29,19,26.54,63.06,574.67,Cotton,DAP
Silt,5.41,23.75,64,38,49,28.96,35.58,1430.77,Cotton,DAP
Loamy,4.97,10.14,133,83,119,36.91,64.37,2943.32,Cotton,Compost
Clay,8.21,51.18,127,25,83,25.89,45.03,572.1,Cotton,DAP
Silt,5.59,15.21,41,87,38,19.49,42.74,1575.62,Cotton,Urea
Loamy,4.64,30.07,134,73,27,35.69,73.61,2294.09,Cotton,MOP
Clay,7.6,32.63,73,34,86,33.39,73.69,2604.11,Cotton,DAP
Silt,6.05,44.42,23,66,35,22.72,30.81,1778.69,Cotton,Urea
Clay,5.16,47.45,142,69,44,17.64,89.98,2087.65,Cotton,Compost
Clay,6.55,47.09,114,36,30,30.17,53.94,531.65,Cotton,DAP
Loamy,7.36,22.35,64,86,108,25.24,36.37,1874.4,Cotton,Urea
Sandy,7.18,41.69,129,25,12,17.72,66.04,1387.27,Cotton,DAP
Sandy,6.13,12.21,24,85,97,21.09,38.69,636.93,Cotton,Urea
Sandy,4.7,11.91,151,19,116,17.68,86.85,2632.71,Cotton,DAP
Loamy,6.28,35.92,134,26,45,17.12,49.19,2182.94,Cotton,DAP
Silt,5.15,34.12,52,56,77,33.29,83.18,1296.16,Cotton,Urea
Silt,5.19,46.84,150,80,65,39.75,46.15,1902.63,Cotton,Compost
Clay,7.4,32.17,79,65,44,22.38,33.99,2047.63,Cotton,SSP
Clay,5.1,13.83,59,60,54,16.98,61.88,1849.66,Cotton,Urea
Sandy,7.91,53.34,52,57,37,25.88,58.54,298.9,Cotton,Urea
Clay,7.08,31.46,124,66,48,37.63,66.06,1140.3,Cotton,Zinc Sulphate
Loamy,6.54,56.12,75,27,15,32.38,68.27,1202.3,Cotton,DAP
Sandy,6.39,14.34,78,24,27,37.24,51.81,2846.84,Cotton,DAP
Clay,8.22,27.13,58,68,21,30.7,58.43,2197.88,Cotton,Urea
Sandy,6.19,44.87,128,56,29,22.26,33.47,2317.72,Cotton,MOP
Sandy,7.36,36.09,40,33,106,32.11,45.0,1151.55,Cotton,Urea
Silt,7.03,52.81,59,70,35,30.31,45.05,2541.43,Cotton,Urea
Clay,7.77,55.73,42,64,31,33.96,34.52,2250.46,Cotton,Urea
Sandy,6.16,48.9,89,29,44,25.9,41.4,1547.13,Cotton,DAP
Sandy,4.9,17.41,128,16,75,35.17,51.04,2419.69,Cotton,DAP
Sandy,5.41,43.51,121,35,32,34.74,66.77,1009.67,Cotton,DAP
Silt,6.23,31.6,141,28,37,24.42,42.82,2438.42,Cotton,DAP
Sandy,7.47,44.35,59,41,90,31.93,59.82,804.95,Cotton,Urea
Silt,6.49,16.77,92,35,50,22.69,74.32,900.93,Cotton,DAP
Silt,8.35,22.24,90,75,109,15.29,84.26,2868.98,Cotton,Zinc Sulphate
Loamy,8.31,52.78,132,23,110,14.72,78.86,2531.98,Cotton,DAP
Loamy,6.43,35.2,93,47,89,23.58,63.91,604.91,Cotton,DAP
Clay,6.93,31.6,29,13,75,14.84,46.27,579.25,Cotton,Urea
Clay,7.52,35.49,28,33,111,19.11,68.28,1652.89,Cotton,Urea
Sandy,6.33,35.18,55,28,42,33.51,89.92,883.72,Cotton,Urea
Silt,4.73,49.87,97,27,91,38.91,57.71,1093.19,Cotton,DAP
Clay,7.59,46.25,147,68,17,21.42,41.72,1862.23,Cotton,MOP
Clay,8.28,32.44,29,87,109,17.36,84.85,2499.58,Cotton,Urea
Loamy,4.58,28.0,71,43,48,37.85,39.61,1485.5,Cotton,Compost
Sandy,4.54,43.57,29,52,40,22.17,57.0,1237.15,Cotton,Urea
Loamy,5.45,40.39,47,71,100,28.71,43.75,428.06,Cotton,Urea
Clay,5.1,55.25,47,72,56,10.69,79.7,457.91,Cotton,Urea
Loamy,7.65,41.81,74,15,83,26.44,77.71,1050.2,Cotton,DAP
Silt,8.18,54.19,66,51,37,30.1,70.41,1360.66,Cotton,MOP
Sandy,5.56,22.71,83,24,84,35.12,42.18,541.88,Cotton,DAP
Sandy,5.18,37.3,39,38,41,13.38,47.36,1489.95,Cotton,Urea
Clay,6.63,13.58,35,23,93,27.73,40.05,655.59,Cotton,Urea
Clay,7.27,15.09,143,88,100,39.99,87.16,421.81,Cotton,DAP
Loamy,7.64,12.81,115,60,60,11.15,74.06,2994.36,Cotton,MOP
Sandy,4.71,56.87,53,28,83,24.04,52.88,1015.43,Cotton,Urea
Loamy,7.65,56.63,47,24,118,38.06,39.87,1783.18,Cotton,Urea
Clay,8.16,56.6,108,44,106,29.16,41.26,1942.47,Cotton,Zinc Sulphate
Loamy,7.73,13.44,126,21,55,20.23,36.38,2826.12,Cotton,DAP
Sandy,4.51,33.25,44,57,27,21.58,89.33,368.59,Cotton,Urea
Clay,7.66,49.14,42,66,17,19.36,78.78,2092.22,Cotton,Urea
Loamy,6.68,59.29,159,61,52,30.13,83.79,2386.73,Cotton,Urea
Clay,5.26,44.72,157,76,18,29.04,86.12,380.87,Cotton,MOP
Loamy,7.81,51.61,42,23,37,20.82,51.86,1793.89,Cotton,Urea
Clay,4.52,37.27,30,35,91,25.88,89.48,883.54,Cotton,Urea
Sandy,8.08,31.97,131,34,87,16.94,44.46,2729.6,Cotton,DAP
Silt,6.63,48.9,75,51,16,11.89,44.82,2870.3,Cotton,MOP
Silt,4.59,56.97,129,32,110,35.38,89.22,2387.86,Cotton,DAP
Loamy,8.37,26.87,36,35,53,10.64,57.91,533.99,Cotton,Urea
Silt,5.02,40.42,25,79,118,29.04,85.35,387.71,Cotton,Urea
Loamy,5.22,41.2,134,80,29,24.95,70.91,2753.6,Cotton,MOP
Loamy,5.88,39.37,82,21,78,38.51,85.49,2723.48,Cotton,DAP
Sandy,5.36,19.93,69,84,106,34.37,63.98,265.11,Cotton,Compost
Clay,8.02,34.46,48,76,105,27.25,60.48,1513.67,Cotton,Urea
Sandy,6.37,26.6,28,59,89,36.87,69.72,771.65,Cotton,Urea
Clay,4.59,36.9,80,13,40,30.32,36.04,2594.08,Cotton,DAP
Silt,5.18,35.84,26,24,18,18.18,82.59,608.27,Cotton,Urea
Silt,7.63,15.61,133,73,79,33.78,48.2,2494.65,Cotton,NPK
Sandy,5.64,17.94,88,53,42,16.24,64.06,2509.67,Cotton,Urea
Loamy,6.3,52.23,45,36,108,20.74,31.63,1804.2,Cotton,Urea
Loamy,8.4,53.7,125,40,62,16.04,54.38,921.22,Cotton,Zinc Sulphate
Sandy,7.13,49.77,24,84,66,27.53,58.72,391.3,Cotton,Urea
Sandy,8.43,47.29,78,79,72,19.13,81.18,1700.46,Cotton,Zinc Sulphate
Clay,5.43,36.14,111,13,62,16.64,86.72,1611.1,Cotton,DAP
Clay,5.5,56.41,31,53,46,10.83,79.31,2024.19,Cotton,Urea
Sandy,6.72,46.28,130,45,46,10.62,82.67,2673.83,Cotton,NPK
Clay,5.9,37.27,32,32,81,35.27,46.6,1608.17,Cotton,Urea
Clay,4.79,41.33,157,13,14,32.84,30.55,637.52,Cotton,DAP
Sandy,6.46,28.6,110,69,96,38.17,38.39,1635.24,Cotton,NPK
Silt,5.84,16.67,132,58,90,36.73,86.81,1792.32,Cotton,Urea
Clay,6.17,11.69,44,53,112,17.58,78.78,511.0,Cotton,Urea
Sandy,5.87,17.77,34,77,51,18.79,34.63,2215.01,Cotton,Urea
Silt,7.36,24.27,24,70,75,39.76,46.03,2929.03,Cotton,Urea
Clay,5.11,50.23,25,66,103,35.17,50.57,1680.72,Cotton,Urea
Loamy,5.15,13.22,28,37,10,39.19,74.85,2889.75,Cotton,Urea
Loamy,5.17,42.69,69,34,118,35.37,40.49,470.31,Cotton,DAP
Silt,6.22,26.55,129,13,75,35.82,49.33,371.21,Cotton,DAP
Silt,7.73,31.08,144,23,81,38.17,87.21,2193.89,Cotton,DAP
Silt,5.85,43.01,83,46,55,19.6,86.33,1469.55,Cotton,NPK
Clay,6.32,21.69,100,17,11,33.47,68.46,1244.15,Cotton,DAP
Clay,5.59,17.29,102,42,58,27.81,51.74,1213.03,Cotton,Urea
Silt,8.12,38.62,127,47,32,33.61,77.76,293.65,Cotton,MOP
Silt,5.72,36.02,26,71,117,11.45,63.69,2901.3,Cotton,Urea
Loamy,6.86,49.65,154,52,15,17.2,55.78,2031.04,Cotton,MOP
Clay,7.92,45.35,43,69,16,24.64,65.23,836.7,Cotton,Urea
Silt,5.69,42.73,66,38,100,15.98,37.65,1853.45,Cotton,DAP
Silt,6.21,35.39,114,33,21,34.0,43.63,1373.51,Cotton,DAP
Clay,4.72,31.38,49,81,78,34.79,55.22,1038.16,Cotton,Urea
Sandy,6.55,32.22,97,54,90,34.58,73.42,356.92,Cotton,Compost
Silt,6.12,28.09,68,77,13,20.28,75.19,2761.64,Cotton,MOP
Sandy,5.03,53.32,64,32,75,34.92,89.1,1847.32,Cotton,DAP
Clay,6.78,59.73,69,53,21,23.85,75.31,1101.89,Cotton,MOP
Sandy,6.47,45.21,93,66,23,26.43,65.53,1909.26,Cotton,MOP
Loamy,7.71,11.05,60,19,82,15.83,40.72,226.37,Cotton,DAP
Silt,5.51,18.12,47,78,106,30.0,36.26,833.78,Cotton,Urea
Silt,6.09,16.21,134,88,72,20.29,53.77,2732.89,Cotton,Zinc Sulphate
Sandy,8.44,26.52,88,27,91,13.93,66.98,2315.57,Cotton,DAP
Silt,6.27,13.12,133,56,31,10.28,33.39,1829.81,Cotton,MOP
Silt,6.86,11.26,20,60,90,28.65,49.63,464.53,Cotton,Urea
Sandy,7.51,19.53,120,72,34,27.02,70.12,1619.37,Cotton,MOP
Silt,7.84,46.85,60,21,70,12.31,86.06,780.14,Cotton,DAP
Clay,5.91,51.08,40,12,64,23.97,54.35,2517.59,Cotton,Urea
Loamy,7.44,48.68,145,46,71,12.41,36.17,1137.05,Cotton,Zinc Sulphate
Clay,4.52,24.59,110,79,104,25.85,36.46,2987.41,Cotton,Compost
Loamy,5.08,27.71,109,32,51,19.88,45.09,733.74,Cotton,DAP
Clay,5.89,36.72,121,89,25,36.69,59.82,283.83,Cotton,MOP
Silt,7.65,25.41,62,67,86,17.91,59.55,2118.39,Cotton,SSP
Sandy,5.36,15.29,153,89,24,13.07,38.1,2114.03,Cotton,MOP
Loamy,7.88,32.16,33,65,70,25.7,87.06,1033.14,Cotton,Urea
Sandy,4.94,49.91,63,17,39,24.06,63.51,2252.96,Cotton,DAP
Silt,7.37,52.43,67,77,115,14.34,76.45,1582.7,Cotton,Zinc Sulphate
Silt,6.11,34.09,113,64,112,16.98,62.63,786.93,Cotton,Compost
Clay,4.64,20.51,109,62,59,36.68,53.62,1960.18,Cotton,Compost
Silt,5.18,20.9,143,88,54,24.52,64.3,1712.77,Cotton,Compost
Silt,5.82,34.97,28,65,114,38.83,51.85,654.08,Cotton,Urea
Sandy,6.98,45.54,35,44,33,34.15,85.59,1675.99,Maize,Urea
Clay,6.19,59.43,57,22,107,10.54,74.93,2936.79,Maize,Urea
Sandy,4.99,43.12,64,11,24,12.89,63.89,1157.38,Maize,DAP
Silt,6.22,42.23,156,68,48,20.22,46.7,2554.82,Maize,Urea
Clay,7.92,53.15,135,14,103,20.96,84.74,1510.36,Maize,DAP
Loamy,4.58,42.35,118,61,62,39.33,82.41,1098.91,Maize,Compost
Loamy,4.81,10.02,64,39,116,13.25,74.16,2208.9,Maize,DAP
Silt,5.42,48.65,144,46,55,34.45,41.0,1941.38,Maize,Compost
Silt,4.87,28.25,42,40,42,33.13,76.3,1324.89,Maize,Urea
Silt,5.08,42.14,152,47,58,30.3,32.34,247.6,Maize,Compost
Silt,5.19,46.05,139,45,113,33.94,55.03,1058.19,Maize,Compost
Silt,8.24,46.47,77,85,97,13.43,60.32,1565.44,Maize,Zinc Sulphate
Silt,5.0,23.31,124,56,59,38.72,42.71,1513.41,Maize,Compost
Sandy,5.79,47.19,107,60,38,34.8,65.13,1208.34,Maize,MOP
Sandy,5.17,25.7,149,44,95,13.19,37.2,2433.64,Maize,Compost
Silt,5.12,44.9,83,59,13,32.95,30.97,2378.49,Maize,MOP
Clay,6.53,17.7,111,53,75,26.37,83.08,2954.94,Maize,SSP
Loamy,5.35,59.43,39,32,46,29.93,33.2,616.34,Maize,Urea
Clay,6.76,26.45,126,84,107,22.88,82.2,2219.09,Maize,NPK
Clay,8.35,10.62,73,23,14,13.06,33.43,2536.5,Maize,DAP
Sandy,4.54,52.17,95,27,104,36.64,57.11,486.94,Maize,DAP
Silt,6.21,11.31,134,88,22,32.17,43.85,477.12,Maize,MOP
Loamy,4.92,53.33,127,78,93,34.17,60.36,2909.13,Maize,Compost
Loamy,4.89,55.65,114,24,24,38.8,84.33,2899.1,Maize,DAP
Clay,4.62,45.03,110,42,26,27.14,80.72,868.85,Maize,MOP
Sandy,4.71,16.06,46,82,115,23.64,37.23,1415.83,Maize,Urea
Clay,6.3,56.61,156,63,74,38.22,83.09,2622.58,Maize,NPK
Loamy,5.02,13.84,94,66,15,26.49,84.91,202.46,Maize,MOP
Loamy,6.71,28.71,103,66,114,11.88,89.64,2988.32,Maize,MOP
Silt,4.72,25.72,74,56,30,21.14,64.05,385.39,Maize,MOP
Clay,7.2,29.95,125,43,47,29.39,31.12,1087.87,Maize,MOP
Silt,4.71,12.52,71,44,106,29.31,42.71,2431.14,Maize,Compost
Clay,4.76,11.84,153,38,112,39.99,83.72,1290.37,Maize,DAP
Loamy,7.06,34.85,134,76,115,16.76,77.89,1435.3,Maize,Zinc Sulphate
Loamy,5.4,36.7,109,77,63,15.52,83.46,259.44,Maize,Compost
Loamy,7.59,26.3,97,40,45,36.87,72.07,2016.67,Maize,Urea
Clay,6.18,37.18,49,65,35,11.02,33.53,1492.46,Maize,Urea
Silt,4.51,29.59,60,72,50,15.7,85.62,2143.91,Maize,Compost
Clay,5.42,48.18,133,42,92,39.5,46.35,2128.64,Maize,Compost
Silt,7.87,42.97,74,41,81,39.03,42.46,2562.5,Maize,Zinc Sulphate
